df_name,MK_Tau_opt,MK_p_value_opt,p_one,q_bh,prop_sig,_key_GBD,Cause Name,Cause ID,Cause Hierarchy Level,ICD10_x,ICD10 Used in Hospital/Claims Analyses,ICD9,ICD9 Used in Hospital/Claims Analyses,cause_level_1,cause_level_2,cause_level_3,cause_level_4,ICD10_explo,ICD10_y,PHECODE,Exl. Phecodes,Excl. Phenotypes,PHECODE_,mapped_flag
Acute hepatitis C,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,4.288626880180536e-07,1.0,acute hepatitis c,Acute hepatitis C,403.0,4.0,"B17.1-B17.11, B18.2, B19.2-B19.21",,"070.41, 070.44, 070.51, 070.7-070.71",,"Communicable, maternal, neonatal, and nutritional diseases",Other infectious diseases,Acute hepatitis,Acute hepatitis C,B17,,,,,nan,False
Acute hepatitis C,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,4.288626880180536e-07,1.0,acute hepatitis c,Acute hepatitis C,403.0,4.0,"B17.1-B17.11, B18.2, B19.2-B19.21",,"070.41, 070.44, 070.51, 070.7-070.71",,"Communicable, maternal, neonatal, and nutritional diseases",Other infectious diseases,Acute hepatitis,Acute hepatitis C,B18,B18,70.0,050-079.99,Viral infection,70_0,True
Acute hepatitis C,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,4.288626880180536e-07,1.0,acute hepatitis c,Acute hepatitis C,403.0,4.0,"B17.1-B17.11, B18.2, B19.2-B19.21",,"070.41, 070.44, 070.51, 070.7-070.71",,"Communicable, maternal, neonatal, and nutritional diseases",Other infectious diseases,Acute hepatitis,Acute hepatitis C,B19,B19,70.0,050-079.99,Viral infection,70_0,True
Acute myeloid leukemia,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.393952803178253e-07,1.0,acute myeloid leukemia,Acute myeloid leukemia,847.0,4.0,"C92.0-C92.02, C92.3-C92.62, C93.0-C93.02, C94.0-C94.02, C94.2-C94.22, C94.4-C94.5",,"205.0-205.02, 205.2-205.32, 206.0-206.02, 207.0-207.02, 207.2-207.82",,Non-communicable diseases,Neoplasms,Leukemia,Acute myeloid leukemia,C92,C92,204.2,200-204.99,cancer of lymphatic and hematopoietic tissue,204_2,True
Acute myeloid leukemia,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.393952803178253e-07,1.0,acute myeloid leukemia,Acute myeloid leukemia,847.0,4.0,"C92.0-C92.02, C92.3-C92.62, C93.0-C93.02, C94.0-C94.02, C94.2-C94.22, C94.4-C94.5",,"205.0-205.02, 205.2-205.32, 206.0-206.02, 207.0-207.02, 207.2-207.82",,Non-communicable diseases,Neoplasms,Leukemia,Acute myeloid leukemia,C93,C93,204.3,200-204.99,cancer of lymphatic and hematopoietic tissue,204_3,True
Acute myeloid leukemia,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.393952803178253e-07,1.0,acute myeloid leukemia,Acute myeloid leukemia,847.0,4.0,"C92.0-C92.02, C92.3-C92.62, C93.0-C93.02, C94.0-C94.02, C94.2-C94.22, C94.4-C94.5",,"205.0-205.02, 205.2-205.32, 206.0-206.02, 207.0-207.02, 207.2-207.82",,Non-communicable diseases,Neoplasms,Leukemia,Acute myeloid leukemia,C94,,,,,nan,False
Adverse effects of medical treatment,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,4.288626880180536e-07,0.9558823529411764,adverse effects of medical treatment,Adverse effects of medical treatment,708.0,3.0,"D69.5-D69.59, D70.1-D70.2, D78-D78.89, D89.81-D89.813, E03.2, E06.4, E09-E09.9, E16.0, E23.1, E24.2, E27.3, E36-E36.8, E66.1, E87.0-E87.99, E89-E89.9, G21.0-G21.19, G24.0-G24.09, G25.1, G25.4, G25.6-G25.79, G62.0, G72.0, G93.7, G96.0, G96.11, G97-G97.9, H05.33-H05.339, H05.42-H05.53, H59-H59.89, H91.0-H91.09, H95-H95.9, I95.2-I95.81, I97-I97.9, J70-J70.4, J95-J95.9, K08.5-K08.59, K43-K43.9, K52.0, K62.7, K68.11, K91-K91.9, K94-K95.89, L23.3, L27.0-L27.1, L56.0-L56.1, L64.0, L76-L76.82, M10.2-M10.29, M87.1-M87.19, M96-M96.9, N14-N14.4, N30.4-N30.41, N46.021, N46.121, N52.2-N52.39, N65-N65.1, N99-N99.9, P93-P93.8, P96.2, P96.5, R50.2-R50.83, Y40-Y84.9, Y88-Y88.3, Z21.0, Z42-Z51.9, Z88-Z94.0, Z94.6-Z99.9","D69.5-D69.59, D70.1-D70.2, D75.82, D78-D78.89, D89.81-D89.813, E03.2, E06.4, E09-E09.9, E16.0, E23.1, E24.2, E27.3, E36-E36.8, E66.1, E71.43, E89-E89.9, G21.0-G25.79, G62.0-G97.9, H05.33-H05.339, H05.42-H05.53, H59-H59.89, H91.0-H91.09, H95-H95.9, I95.2-I97.9, J70-J70.4, J95-J95.9, K08.5-K08.59, K43-K43.9, K52.0, K62.7, K68.11, K91-K91.9, K94-K95.89, L23.3, L27.0-L27.1, L56.0-L56.1, L64.0, L76-L76.82, M10.2-M10.29, M87.1-M87.19, M96-M96.9, N14-N14.4, N30.4-N30.41, N46.021-N46.121, N52.2-N52.39, N65-N65.1, N99-N99.9, P93-P93.8, P96.2-P96.5, R50.2-R50.83, Y40-Y84.9, Y88-Y88.3, Z21.0, Z42-Z51.9, Z88-Z94.0, Z94.6-Z99.9","244.0-244.1, 244.3, 251.3, 253.7, 279.5-279.53, 331.81, 333.92, 349-349.9, 357.6, 359.24, 379.6-379.63, 440.3-440.32, 457.0, 458.2-458.29, 518.6-518.7, 519.0-519.1, 525.6-525.79, 526.62-526.63, 530.86-530.87, 536.4-536.49, 539-539.9, 551.2-551.29, 552.2-552.29, 553.2-553.29, 564.2-564.4, 569.6-569.8, 579.3, 595.82, 596.81-596.83, 598.2, 612-612.1, 779.4-779.5, 780.62-780.66, 995.89, E870-E876.9, E878-E879.9, E930-E949.9, V44-V45, V45.2-V45.4, V45.7, V45.77, V45.79-V45.8, V45.87-V45.89","244.0-244.1, 244.3, 251.3, 253.7, 279.5-279.53, 331.81, 333.92, 349-349.9, 357.6-359.24, 379.6-379.63, 440.3-440.32, 457.0, 458.2-458.29, 518.6-519.1, 525.6-525.79, 526.62-526.63, 530.86-530.87, 536.4-536.49, 539-539.9, 551.2-551.29, 552.2-552.29, 553.2-553.29, 564.2-564.4, 569.6-569.8, 579.3, 595.82, 596.81-596.83, 598.2, 612-612.1, 779.4-780.66, 995.89, E87.0-E87.99, E93.0-E94.99, V44-V45.89",Injuries,Unintentional injuries,Adverse effects of medical treatment,,D69,D69,287.0,286-287.99,COAGULATION OR HEMORRHAGIC DISEASES,287_0,True
Adverse effects of medical treatment,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,4.288626880180536e-07,0.9558823529411764,adverse effects of medical treatment,Adverse effects of medical treatment,708.0,3.0,"D69.5-D69.59, D70.1-D70.2, D78-D78.89, D89.81-D89.813, E03.2, E06.4, E09-E09.9, E16.0, E23.1, E24.2, E27.3, E36-E36.8, E66.1, E87.0-E87.99, E89-E89.9, G21.0-G21.19, G24.0-G24.09, G25.1, G25.4, G25.6-G25.79, G62.0, G72.0, G93.7, G96.0, G96.11, G97-G97.9, H05.33-H05.339, H05.42-H05.53, H59-H59.89, H91.0-H91.09, H95-H95.9, I95.2-I95.81, I97-I97.9, J70-J70.4, J95-J95.9, K08.5-K08.59, K43-K43.9, K52.0, K62.7, K68.11, K91-K91.9, K94-K95.89, L23.3, L27.0-L27.1, L56.0-L56.1, L64.0, L76-L76.82, M10.2-M10.29, M87.1-M87.19, M96-M96.9, N14-N14.4, N30.4-N30.41, N46.021, N46.121, N52.2-N52.39, N65-N65.1, N99-N99.9, P93-P93.8, P96.2, P96.5, R50.2-R50.83, Y40-Y84.9, Y88-Y88.3, Z21.0, Z42-Z51.9, Z88-Z94.0, Z94.6-Z99.9","D69.5-D69.59, D70.1-D70.2, D75.82, D78-D78.89, D89.81-D89.813, E03.2, E06.4, E09-E09.9, E16.0, E23.1, E24.2, E27.3, E36-E36.8, E66.1, E71.43, E89-E89.9, G21.0-G25.79, G62.0-G97.9, H05.33-H05.339, H05.42-H05.53, H59-H59.89, H91.0-H91.09, H95-H95.9, I95.2-I97.9, J70-J70.4, J95-J95.9, K08.5-K08.59, K43-K43.9, K52.0, K62.7, K68.11, K91-K91.9, K94-K95.89, L23.3, L27.0-L27.1, L56.0-L56.1, L64.0, L76-L76.82, M10.2-M10.29, M87.1-M87.19, M96-M96.9, N14-N14.4, N30.4-N30.41, N46.021-N46.121, N52.2-N52.39, N65-N65.1, N99-N99.9, P93-P93.8, P96.2-P96.5, R50.2-R50.83, Y40-Y84.9, Y88-Y88.3, Z21.0, Z42-Z51.9, Z88-Z94.0, Z94.6-Z99.9","244.0-244.1, 244.3, 251.3, 253.7, 279.5-279.53, 331.81, 333.92, 349-349.9, 357.6, 359.24, 379.6-379.63, 440.3-440.32, 457.0, 458.2-458.29, 518.6-518.7, 519.0-519.1, 525.6-525.79, 526.62-526.63, 530.86-530.87, 536.4-536.49, 539-539.9, 551.2-551.29, 552.2-552.29, 553.2-553.29, 564.2-564.4, 569.6-569.8, 579.3, 595.82, 596.81-596.83, 598.2, 612-612.1, 779.4-779.5, 780.62-780.66, 995.89, E870-E876.9, E878-E879.9, E930-E949.9, V44-V45, V45.2-V45.4, V45.7, V45.77, V45.79-V45.8, V45.87-V45.89","244.0-244.1, 244.3, 251.3, 253.7, 279.5-279.53, 331.81, 333.92, 349-349.9, 357.6-359.24, 379.6-379.63, 440.3-440.32, 457.0, 458.2-458.29, 518.6-519.1, 525.6-525.79, 526.62-526.63, 530.86-530.87, 536.4-536.49, 539-539.9, 551.2-551.29, 552.2-552.29, 553.2-553.29, 564.2-564.4, 569.6-569.8, 579.3, 595.82, 596.81-596.83, 598.2, 612-612.1, 779.4-780.66, 995.89, E87.0-E87.99, E93.0-E94.99, V44-V45.89",Injuries,Unintentional injuries,Adverse effects of medical treatment,,D70,D70,288.11,288-289.99,Other diseases of the blood,288_11,True
Adverse effects of medical treatment,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,4.288626880180536e-07,0.9558823529411764,adverse effects of medical treatment,Adverse effects of medical treatment,708.0,3.0,"D69.5-D69.59, D70.1-D70.2, D78-D78.89, D89.81-D89.813, E03.2, E06.4, E09-E09.9, E16.0, E23.1, E24.2, E27.3, E36-E36.8, E66.1, E87.0-E87.99, E89-E89.9, G21.0-G21.19, G24.0-G24.09, G25.1, G25.4, G25.6-G25.79, G62.0, G72.0, G93.7, G96.0, G96.11, G97-G97.9, H05.33-H05.339, H05.42-H05.53, H59-H59.89, H91.0-H91.09, H95-H95.9, I95.2-I95.81, I97-I97.9, J70-J70.4, J95-J95.9, K08.5-K08.59, K43-K43.9, K52.0, K62.7, K68.11, K91-K91.9, K94-K95.89, L23.3, L27.0-L27.1, L56.0-L56.1, L64.0, L76-L76.82, M10.2-M10.29, M87.1-M87.19, M96-M96.9, N14-N14.4, N30.4-N30.41, N46.021, N46.121, N52.2-N52.39, N65-N65.1, N99-N99.9, P93-P93.8, P96.2, P96.5, R50.2-R50.83, Y40-Y84.9, Y88-Y88.3, Z21.0, Z42-Z51.9, Z88-Z94.0, Z94.6-Z99.9","D69.5-D69.59, D70.1-D70.2, D75.82, D78-D78.89, D89.81-D89.813, E03.2, E06.4, E09-E09.9, E16.0, E23.1, E24.2, E27.3, E36-E36.8, E66.1, E71.43, E89-E89.9, G21.0-G25.79, G62.0-G97.9, H05.33-H05.339, H05.42-H05.53, H59-H59.89, H91.0-H91.09, H95-H95.9, I95.2-I97.9, J70-J70.4, J95-J95.9, K08.5-K08.59, K43-K43.9, K52.0, K62.7, K68.11, K91-K91.9, K94-K95.89, L23.3, L27.0-L27.1, L56.0-L56.1, L64.0, L76-L76.82, M10.2-M10.29, M87.1-M87.19, M96-M96.9, N14-N14.4, N30.4-N30.41, N46.021-N46.121, N52.2-N52.39, N65-N65.1, N99-N99.9, P93-P93.8, P96.2-P96.5, R50.2-R50.83, Y40-Y84.9, Y88-Y88.3, Z21.0, Z42-Z51.9, Z88-Z94.0, Z94.6-Z99.9","244.0-244.1, 244.3, 251.3, 253.7, 279.5-279.53, 331.81, 333.92, 349-349.9, 357.6, 359.24, 379.6-379.63, 440.3-440.32, 457.0, 458.2-458.29, 518.6-518.7, 519.0-519.1, 525.6-525.79, 526.62-526.63, 530.86-530.87, 536.4-536.49, 539-539.9, 551.2-551.29, 552.2-552.29, 553.2-553.29, 564.2-564.4, 569.6-569.8, 579.3, 595.82, 596.81-596.83, 598.2, 612-612.1, 779.4-779.5, 780.62-780.66, 995.89, E870-E876.9, E878-E879.9, E930-E949.9, V44-V45, V45.2-V45.4, V45.7, V45.77, V45.79-V45.8, V45.87-V45.89","244.0-244.1, 244.3, 251.3, 253.7, 279.5-279.53, 331.81, 333.92, 349-349.9, 357.6-359.24, 379.6-379.63, 440.3-440.32, 457.0, 458.2-458.29, 518.6-519.1, 525.6-525.79, 526.62-526.63, 530.86-530.87, 536.4-536.49, 539-539.9, 551.2-551.29, 552.2-552.29, 553.2-553.29, 564.2-564.4, 569.6-569.8, 579.3, 595.82, 596.81-596.83, 598.2, 612-612.1, 779.4-780.66, 995.89, E87.0-E87.99, E93.0-E94.99, V44-V45.89",Injuries,Unintentional injuries,Adverse effects of medical treatment,,D78,,,,,nan,False
Adverse effects of medical treatment,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,4.288626880180536e-07,0.9558823529411764,adverse effects of medical treatment,Adverse effects of medical treatment,708.0,3.0,"D69.5-D69.59, D70.1-D70.2, D78-D78.89, D89.81-D89.813, E03.2, E06.4, E09-E09.9, E16.0, E23.1, E24.2, E27.3, E36-E36.8, E66.1, E87.0-E87.99, E89-E89.9, G21.0-G21.19, G24.0-G24.09, G25.1, G25.4, G25.6-G25.79, G62.0, G72.0, G93.7, G96.0, G96.11, G97-G97.9, H05.33-H05.339, H05.42-H05.53, H59-H59.89, H91.0-H91.09, H95-H95.9, I95.2-I95.81, I97-I97.9, J70-J70.4, J95-J95.9, K08.5-K08.59, K43-K43.9, K52.0, K62.7, K68.11, K91-K91.9, K94-K95.89, L23.3, L27.0-L27.1, L56.0-L56.1, L64.0, L76-L76.82, M10.2-M10.29, M87.1-M87.19, M96-M96.9, N14-N14.4, N30.4-N30.41, N46.021, N46.121, N52.2-N52.39, N65-N65.1, N99-N99.9, P93-P93.8, P96.2, P96.5, R50.2-R50.83, Y40-Y84.9, Y88-Y88.3, Z21.0, Z42-Z51.9, Z88-Z94.0, Z94.6-Z99.9","D69.5-D69.59, D70.1-D70.2, D75.82, D78-D78.89, D89.81-D89.813, E03.2, E06.4, E09-E09.9, E16.0, E23.1, E24.2, E27.3, E36-E36.8, E66.1, E71.43, E89-E89.9, G21.0-G25.79, G62.0-G97.9, H05.33-H05.339, H05.42-H05.53, H59-H59.89, H91.0-H91.09, H95-H95.9, I95.2-I97.9, J70-J70.4, J95-J95.9, K08.5-K08.59, K43-K43.9, K52.0, K62.7, K68.11, K91-K91.9, K94-K95.89, L23.3, L27.0-L27.1, L56.0-L56.1, L64.0, L76-L76.82, M10.2-M10.29, M87.1-M87.19, M96-M96.9, N14-N14.4, N30.4-N30.41, N46.021-N46.121, N52.2-N52.39, N65-N65.1, N99-N99.9, P93-P93.8, P96.2-P96.5, R50.2-R50.83, Y40-Y84.9, Y88-Y88.3, Z21.0, Z42-Z51.9, Z88-Z94.0, Z94.6-Z99.9","244.0-244.1, 244.3, 251.3, 253.7, 279.5-279.53, 331.81, 333.92, 349-349.9, 357.6, 359.24, 379.6-379.63, 440.3-440.32, 457.0, 458.2-458.29, 518.6-518.7, 519.0-519.1, 525.6-525.79, 526.62-526.63, 530.86-530.87, 536.4-536.49, 539-539.9, 551.2-551.29, 552.2-552.29, 553.2-553.29, 564.2-564.4, 569.6-569.8, 579.3, 595.82, 596.81-596.83, 598.2, 612-612.1, 779.4-779.5, 780.62-780.66, 995.89, E870-E876.9, E878-E879.9, E930-E949.9, V44-V45, V45.2-V45.4, V45.7, V45.77, V45.79-V45.8, V45.87-V45.89","244.0-244.1, 244.3, 251.3, 253.7, 279.5-279.53, 331.81, 333.92, 349-349.9, 357.6-359.24, 379.6-379.63, 440.3-440.32, 457.0, 458.2-458.29, 518.6-519.1, 525.6-525.79, 526.62-526.63, 530.86-530.87, 536.4-536.49, 539-539.9, 551.2-551.29, 552.2-552.29, 553.2-553.29, 564.2-564.4, 569.6-569.8, 579.3, 595.82, 596.81-596.83, 598.2, 612-612.1, 779.4-780.66, 995.89, E87.0-E87.99, E93.0-E94.99, V44-V45.89",Injuries,Unintentional injuries,Adverse effects of medical treatment,,D89,,,,,nan,False
