"ICD10_explo","df_name","window_optimum_start","window_optimum_end","MK_Tau_opt","MK_p_value_opt","MK_Tau","MK_p_value","Unique_Observations","prop_sig","n_countries","pos_sig","neg_sig","p_one","q_bh","ARD_BH","ARD_selected","X_key_GBD","Cause.Name","Cause.ID","Cause.Hierarchy.Level","ICD10","ICD10.Used.in.Hospital.Claims.Analyses","ICD9","ICD9.Used.in.Hospital.Claims.Analyses","cause_level_1","cause_level_2","cause_level_3","cause_level_4","trait_type","pheno_sex","coding","modifier","description","description_more","coding_description","category","n_cases_full_cohort_both_sexes","n_cases_full_cohort_females","n_cases_full_cohort_males","n_cases_hq_cohort_both_sexes","n_cases_hq_cohort_females","n_cases_hq_cohort_males","pops","num_pops","pops_pass_qc","num_pops_pass_qc","n_cases_AFR","n_cases_AMR","n_cases_CSA","n_cases_EAS","n_cases_EUR","n_cases_MID","n_controls_AFR","n_controls_AMR","n_controls_CSA","n_controls_EAS","n_controls_EUR","n_controls_MID","rhemc_25bin_50rv_h2_observed_AFR","rhemc_25bin_50rv_h2_observed_AMR","rhemc_25bin_50rv_h2_observed_CSA","rhemc_25bin_50rv_h2_observed_EAS","sldsc_25bin_h2_observed_EUR","rhemc_25bin_50rv_h2_observed_MID","rhemc_25bin_50rv_h2_observed_se_AFR","rhemc_25bin_50rv_h2_observed_se_AMR","rhemc_25bin_50rv_h2_observed_se_CSA","rhemc_25bin_50rv_h2_observed_se_EAS","sldsc_25bin_h2_observed_se_EUR","rhemc_25bin_50rv_h2_observed_se_MID","rhemc_25bin_50rv_h2_liability_AFR","rhemc_25bin_50rv_h2_liability_AMR","rhemc_25bin_50rv_h2_liability_CSA","rhemc_25bin_50rv_h2_liability_EAS","sldsc_25bin_h2_liability_EUR","rhemc_25bin_50rv_h2_liability_MID","rhemc_25bin_50rv_h2_liability_se_AFR","rhemc_25bin_50rv_h2_liability_se_AMR","rhemc_25bin_50rv_h2_liability_se_CSA","rhemc_25bin_50rv_h2_liability_se_EAS","sldsc_25bin_h2_liability_se_EUR","rhemc_25bin_50rv_h2_liability_se_MID","rhemc_25bin_50rv_h2_z_AFR","rhemc_25bin_50rv_h2_z_AMR","rhemc_25bin_50rv_h2_z_CSA","rhemc_25bin_50rv_h2_z_EAS","sldsc_25bin_h2_z_EUR","rhemc_25bin_50rv_h2_z_MID","lambda_gc_AFR","lambda_gc_AMR","lambda_gc_CSA","lambda_gc_EAS","lambda_gc_EUR","lambda_gc_MID","phenotype_qc_AFR","phenotype_qc_AMR","phenotype_qc_CSA","phenotype_qc_EAS","phenotype_qc_EUR","phenotype_qc_MID","in_max_independent_set","filename","filename_tabix","aws_link","aws_link_tabix","wget","wget_tabix","md5_hex","size_in_bytes","md5_hex_tabix","size_in_bytes_tabix","trait_efos","trait_efo_terms","trait_efo_categories"
"A46","Skin and subcutaneous diseases",1,16,0.933333278,5.96046447753906e-07,0.933333278,5.96046447753906e-07,16,1,204,204,0,2.98023223876953e-07,1.31219180662241e-06,TRUE,TRUE,"skin and subcutaneous diseases","Skin and subcutaneous diseases",653,2,"A46-A46.0, A66-A67.3, A67.9, B07-B09, B35-B36.9, B85-B88.9, D86.3, E80.1-E80.29, I89.1-I89.8, L00-L23.2, L23.4-L27, L27.2-L54.8, L56, L56.2-L57.9, L59-L64, L64.8-L75.9, L77-L92.9, L94-L99.8, M72.5-M72.6, N49.2-N49.3, R20-R24.0","A46-A46.0, A66-A67.9, B07-B08.1, B35-B36.9, B85-B88.9, I89.1-I89.8, L00-L23.2, L23.4-L25.9, L28-L54.8, L56, L56.2-L57.9, L59-L64, L64.8-L75.9, L80-L92.9, L94-L99.8, M72.5-M72.6, N49.2-N49.3","035-035.9, 040.0, 078.0-078.19, 102-103.9, 110-111.9, 132-134.9, 136.1, 457.2-457.3, 680-709.3, 709.8-709.9, 728.86, 782-782.9, 785.4, V13.3, V19.4, V42.3, V43.83, V58.77, V59.1, V82.0","035-035.9, 040.0, 078.0-078.19, 102-111.9, 132-134.9, 136.1, 457.2-457.3, 680-709.3, 709.8-709.9, 728.86, 785.4","Non-communicable diseases","Skin and subcutaneous diseases","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A66","Skin and subcutaneous diseases",1,16,0.933333278,5.96046447753906e-07,0.933333278,5.96046447753906e-07,16,1,204,204,0,2.98023223876953e-07,1.31219180662241e-06,TRUE,TRUE,"skin and subcutaneous diseases","Skin and subcutaneous diseases",653,2,"A46-A46.0, A66-A67.3, A67.9, B07-B09, B35-B36.9, B85-B88.9, D86.3, E80.1-E80.29, I89.1-I89.8, L00-L23.2, L23.4-L27, L27.2-L54.8, L56, L56.2-L57.9, L59-L64, L64.8-L75.9, L77-L92.9, L94-L99.8, M72.5-M72.6, N49.2-N49.3, R20-R24.0","A46-A46.0, A66-A67.9, B07-B08.1, B35-B36.9, B85-B88.9, I89.1-I89.8, L00-L23.2, L23.4-L25.9, L28-L54.8, L56, L56.2-L57.9, L59-L64, L64.8-L75.9, L80-L92.9, L94-L99.8, M72.5-M72.6, N49.2-N49.3","035-035.9, 040.0, 078.0-078.19, 102-103.9, 110-111.9, 132-134.9, 136.1, 457.2-457.3, 680-709.3, 709.8-709.9, 728.86, 782-782.9, 785.4, V13.3, V19.4, V42.3, V43.83, V58.77, V59.1, V82.0","035-035.9, 040.0, 078.0-078.19, 102-111.9, 132-134.9, 136.1, 457.2-457.3, 680-709.3, 709.8-709.9, 728.86, 785.4","Non-communicable diseases","Skin and subcutaneous diseases","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A67","Bacterial skin diseases",1,16,0.783333302,2.82526016235352e-05,0.783333302,2.82526016235352e-05,16,0.985294117647059,204,201,0,1.41263008117676e-05,3.56175960638585e-05,TRUE,TRUE,"bacterial skin diseases","Bacterial skin diseases",980,3,"A46-A46.0, A66-A67.3, A67.9, I89.1-I89.8, L00-L05.92, L08-L08.9, L30.3-L30.4, L88, L97-L98.499, M72.5-M72.6, N49.2-N49.3","A46-A46.0, A66-A67.9, I89.1-I89.8, L00-L08.9, L30.3-L30.4, L88, L97-L98.499, M72.5-M72.6, N49.2-N49.3","035-035.9, 040.0, 102-103.9, 457.2-457.3, 680-689, 728.86, 785.4","035-035.9, 040.0, 102-103.9, 457.2-457.3, 680-689, 728.86, 785.4","Non-communicable diseases","Skin and subcutaneous diseases","Bacterial skin diseases","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A67","Skin and subcutaneous diseases",1,16,0.933333278,5.96046447753906e-07,0.933333278,5.96046447753906e-07,16,1,204,204,0,2.98023223876953e-07,1.31219180662241e-06,TRUE,TRUE,"skin and subcutaneous diseases","Skin and subcutaneous diseases",653,2,"A46-A46.0, A66-A67.3, A67.9, B07-B09, B35-B36.9, B85-B88.9, D86.3, E80.1-E80.29, I89.1-I89.8, L00-L23.2, L23.4-L27, L27.2-L54.8, L56, L56.2-L57.9, L59-L64, L64.8-L75.9, L77-L92.9, L94-L99.8, M72.5-M72.6, N49.2-N49.3, R20-R24.0","A46-A46.0, A66-A67.9, B07-B08.1, B35-B36.9, B85-B88.9, I89.1-I89.8, L00-L23.2, L23.4-L25.9, L28-L54.8, L56, L56.2-L57.9, L59-L64, L64.8-L75.9, L80-L92.9, L94-L99.8, M72.5-M72.6, N49.2-N49.3","035-035.9, 040.0, 078.0-078.19, 102-103.9, 110-111.9, 132-134.9, 136.1, 457.2-457.3, 680-709.3, 709.8-709.9, 728.86, 782-782.9, 785.4, V13.3, V19.4, V42.3, V43.83, V58.77, V59.1, V82.0","035-035.9, 040.0, 078.0-078.19, 102-111.9, 132-134.9, 136.1, 457.2-457.3, 680-709.3, 709.8-709.9, 728.86, 785.4","Non-communicable diseases","Skin and subcutaneous diseases","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A67","Skin and subcutaneous diseases",1,16,0.933333278,5.96046447753906e-07,0.933333278,5.96046447753906e-07,16,1,204,204,0,2.98023223876953e-07,1.31219180662241e-06,TRUE,TRUE,"skin and subcutaneous diseases","Skin and subcutaneous diseases",653,2,"A46-A46.0, A66-A67.3, A67.9, B07-B09, B35-B36.9, B85-B88.9, D86.3, E80.1-E80.29, I89.1-I89.8, L00-L23.2, L23.4-L27, L27.2-L54.8, L56, L56.2-L57.9, L59-L64, L64.8-L75.9, L77-L92.9, L94-L99.8, M72.5-M72.6, N49.2-N49.3, R20-R24.0","A46-A46.0, A66-A67.9, B07-B08.1, B35-B36.9, B85-B88.9, I89.1-I89.8, L00-L23.2, L23.4-L25.9, L28-L54.8, L56, L56.2-L57.9, L59-L64, L64.8-L75.9, L80-L92.9, L94-L99.8, M72.5-M72.6, N49.2-N49.3","035-035.9, 040.0, 078.0-078.19, 102-103.9, 110-111.9, 132-134.9, 136.1, 457.2-457.3, 680-709.3, 709.8-709.9, 728.86, 782-782.9, 785.4, V13.3, V19.4, V42.3, V43.83, V58.77, V59.1, V82.0","035-035.9, 040.0, 078.0-078.19, 102-111.9, 132-134.9, 136.1, 457.2-457.3, 680-709.3, 709.8-709.9, 728.86, 785.4","Non-communicable diseases","Skin and subcutaneous diseases","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A85","Encephalitis",1,16,0.933333278,5.96046447753906e-07,0.933333278,5.96046447753906e-07,16,0.985294117647059,204,201,0,2.98023223876953e-07,1.31219180662241e-06,TRUE,TRUE,"encephalitis","Encephalitis",337,3,"A83-A85.2, A85.8-A86.0, B94.1, F07.1, G04-G05.8","A83-A86.0, B94.1, F07.1, G04-G05.8","062-064.9, 310.89, 323-323.9, V05.0-V05.1","062-064.9, 310.89, 323-323.9","Communicable, maternal, neonatal, and nutritional diseases","Other infectious diseases","Encephalitis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B33","Cardiomyopathy and myocarditis",1,16,0.966666579,2.38418579101562e-07,0.966666579,2.38418579101562e-07,16,1,204,204,0,1.19209289550781e-07,6.39395280317825e-07,TRUE,TRUE,"cardiomyopathy and myocarditis","Cardiomyopathy and myocarditis",499,3,"B33.2-B33.20, B33.22-B33.24, D86.85, I40-I41.8, I42-I43.8, I51.4-I51.6","B33.2-B33.20, B33.22-B33.24, I40-I41.8, I51.4-I51.6","074.2, 074.23, 422-422.99, 425-425.5, 425.7-425.9, 429.0-429.1","074.2, 074.23, 422-422.99, 429.0-429.1","Non-communicable diseases","Cardiovascular diseases","Cardiomyopathy and myocarditis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B33","Cardiovascular diseases",1,16,0.98333329,1.19209289550781e-07,0.98333329,1.19209289550781e-07,16,1,204,204,0,5.96046447753905e-08,4.28862688018054e-07,TRUE,TRUE,"cardiovascular diseases","Cardiovascular diseases",491,2,"B33.2-B33.24, D86.85, G45-G46.8, I00.0-I01.9, I02.0, I03-I11.9, I14-I27.0, I27.2-I83.93, I86-I89.0, I89.9-I95.1, I98, I98.4-ID5.9, K75.1, R00-R01.2, R07-R07.9","A32.82, B33.2-B33.24, B37.6, I01-I09.9, I20-I27.0, I33-I73.9","074.2, 074.21-074.23, 391-391.9, 392.0, 393-398.99, 402-402.91, 410-416.0, 417-417.9, 420-425.5, 425.7-440.29, 440.4-445.89, 447-454.9, 456, 456.3-457, 457.1, 457.8-458.1, 459-459.9, 785-785.3, V12.5-V12.59, V15.1, V17.1, V17.3-V17.49, V42.1-V42.2, V43.2-V43.5, V45.0-V45.09, V45.81-V45.82, V47.2, V58.61, V58.63, V58.66, V58.73, V81-V81.2","074.2-074.23, 112.81-115.94, 391-398.99, 410-416.0, 421-440.29, 440.4-443.9","Non-communicable diseases","Cardiovascular diseases","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B33","Endocarditis",1,16,0.99999994,1.19209289550781e-07,0.99999994,1.19209289550781e-07,16,1,204,204,0,5.96046447753905e-08,4.28862688018054e-07,TRUE,TRUE,"endocarditis","Endocarditis",503,3,"B33.21, I33-I33.9, I38-I38.0, I39-I39.9","A32.82, B33.21, B37.6, I33-I33.9, I38-I39.9","074.22, 421-421.9, 424, 424.4-424.99","074.22, 112.81-115.94, 421-421.9, 424, 424.4-424.99","Non-communicable diseases","Cardiovascular diseases","Endocarditis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B33","Myocarditis",1,16,0.966666579,2.38418579101562e-07,0.966666579,2.38418579101562e-07,16,1,204,204,0,1.19209289550781e-07,6.39395280317825e-07,TRUE,TRUE,"myocarditis","Myocarditis",942,4,"B33.2-B33.20, B33.22-B33.24, D86.85, I40-I41.8, I51.4-I51.6","B33.2-B33.20, B33.22-B33.24, I40-I41.8, I51.4-I51.6","074.2, 074.23, 422-422.99, 429.0-429.1","074.2, 074.23, 422-422.99, 429.0-429.1","Non-communicable diseases","Cardiovascular diseases","Cardiomyopathy and myocarditis","Myocarditis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
